,Return_3d,Return_7d,Return_15d,Return_30d,Return_3m,Return_6m,Return_1y,Return_3y,Return_5y,Prob_3d,Prob_7d,Prob_15d,Prob_30d,Prob_3m,CVaR_Risk,Sector,ESG_Score
JSWSTEEL.NS,0.0004585637332023343,0.0010891637739089167,-0.0035255019508844965,5.186751797647826e-05,0.06190560031404312,0.20657401800589836,0.3230318855295231,0.22761859626922526,0.31769842589444836,0.47992373,0.4861764,0.42785913,0.4289914,0.4623093,0.049682124406105074,Basic Materials,63.3
KOTAKBANK.NS,4.463185429005173e-05,-0.0009798750570650886,-0.0022418689647632287,-0.0013383796614726343,-0.028207751388984462,-0.17840005183140417,-0.08924276210108884,0.025848290957054692,0.059674073340835174,0.487348,0.47116634,0.46630538,0.4125989,0.24525231,0.04133319636508302,Financial Services,80.9
LT.NS,0.0010201234098239798,0.002183419820790733,0.0016995880695410553,0.0037102083130757177,0.03442087701724821,0.06323715625400084,0.20375218661716576,0.22910761971960855,0.23018056991869257,0.50227296,0.517457,0.49074578,0.48086813,0.512126,0.0405574221978478,Industrials,65.9
M&M.NS,0.0014193209363174385,0.001885951538385576,0.009857572937757946,0.01671519406274502,0.09001148471674361,-0.295611733015428,0.07069699294792342,0.36264776829342327,0.3439229430051429,0.4871363,0.47202075,0.5176965,0.5009472,0.5628045,0.04516246493540567,Consumer Cyclical,72.2
MARUTI.NS,0.0003508746670618911,0.0002727435565677734,-0.0008993107772526446,0.0017517064440036104,-0.017757564139874837,-0.30053445735632267,0.09350363287108765,0.16897502256713323,0.14276090838641078,0.48460072,0.4750976,0.46807835,0.4726385,0.28733593,0.040346913492998945,Consumer Cyclical,74.2
NESTLEIND.NS,-0.004770125285864154,-0.0010141579832879284,-0.0058551430473724134,-0.02142767962833351,-0.04461080243071907,0.33304734228370103,0.2575616293436218,0.14979000711267917,0.14478129805336198,0.31650713,0.43048942,0.3668289,0.2041953,0.13076483,0.028592578293752332,Consumer Defensive,71.7
NTPC.NS,0.0017440778787225324,-0.000451114884999642,-0.007984636875780795,-0.005554973430387716,0.01124745933179936,0.3960148251399478,0.18112350551622214,0.33783590167772104,0.26584813884959746,0.50178564,0.45203802,0.33679044,0.38124913,0.4215886,0.03663210229417406,Utilities,60.6
ONGC.NS,-0.00479161285019898,0.0008525168828863172,0.006316815943028048,0.00609552066809823,-0.0891735101893149,0.46010036596930237,0.3196072532087423,0.30046753000012094,0.2652824786539906,0.38042203,0.48860073,0.48275468,0.45897642,0.11454725,0.050663093516980374,Energy,47.8
POWERGRID.NS,0.0028926995556844293,0.00384618170394512,0.009012133051120644,0.019283234683601245,0.06818605785444423,0.2829905743195209,0.03059383569237517,0.2587097145430166,0.25727482694899134,0.52047473,0.5110501,0.53622156,0.55094856,0.5954353,0.0366513458237695,Utilities,77.9
RELIANCE.NS,0.0015251861181192396,0.0012375997975313142,0.005478226439451277,0.016709313151878142,0.07925811118237779,-0.14270903393960843,-0.010207075965397938,0.10079354639292928,0.151333029603574,0.5110574,0.49753964,0.49569353,0.5125074,0.6737929,0.038181349048311115,Energy,59.0
SBILIFE.NS,-0.0003391593282121262,-0.0005293166370851175,-0.0010755951873670441,-0.0003249451823047131,0.009544016984890671,-0.1417147747725913,0.07974329717103357,0.18804713329582576,0.13883058676497387,0.49063858,0.47572902,0.4773167,0.46700224,0.4448002,0.03760955927341573,Financial Services,75.2
SBIN.NS,0.0007688787184264873,0.000861237503683842,0.003021697032214745,-0.009609568880836278,0.046083922500925675,0.068531072195545,0.2766620998457904,0.24040239034679278,0.2319261844986143,0.50157785,0.4887422,0.49571213,0.38972443,0.5108257,0.04651558900131426,Financial Services,73.0
SHRIRAMFIN.NS,-0.0036288277510779197,-0.003276815443675807,0.0024907008397835537,0.017460546710821534,0.07779454935856697,0.31903440684764695,0.4758785727563746,0.4920628571295619,0.34915412464665146,0.43711698,0.44283652,0.47142765,0.5001325,0.5338036,0.06510474806636617,Financial Services,79.9
SUNPHARMA.NS,-0.0055051012330439774,-0.0023457760927673484,-0.012533727669046686,-0.02445547291136453,-0.020273637754261102,0.18908465237323835,0.06146962662116473,0.23308048520927319,0.2710071049785178,0.31556678,0.40316325,0.26281238,0.16510072,0.13601367,0.031864377444705654,Healthcare,68.4
TATACONSUM.NS,-0.0019470355491970903,-9.339671478030692e-05,0.005090700092054205,-0.00039379888417731546,0.0352288281028531,0.14256359632166538,0.1328326331758557,0.22232282244631663,0.2605826039399263,0.4129916,0.4520823,0.47917795,0.40822524,0.47162834,0.03827676622933946,Consumer Defensive,73.5
TATASTEEL.NS,-0.0002042315602060179,0.0003741412988328974,0.0021190963321124773,0.013261643099878394,0.05254035252487545,0.42744861869604245,0.4848276233340344,0.2999000041526307,0.3405590831692776,0.46989787,0.47283158,0.47575697,0.5036966,0.44611645,0.05401173474656613,Basic Materials,69.3
TCS.NS,0.0018789490687639906,0.0033699747572511034,0.004401953033418025,0.013335841873510772,0.04181887328116081,-0.4804533077826667,-0.3572574736095542,-0.05383641090954013,0.06055320930035037,0.5287993,0.5568247,0.5454519,0.5840025,0.62628883,0.03525178229254016,Technology,88.6
TECHM.NS,-0.0004782768786187972,4.220643989269121e-05,-0.00012766466827468861,-0.009022360029203431,0.00796471166841363,0.02401721407018731,-0.028719616447795082,0.16189217750097232,0.17779290497160055,0.47635216,0.5058872,0.48696607,0.4486239,0.4364235,0.044156388294894974,Technology,88.4
TITAN.NS,-0.00048453315235300054,0.0006391777989110982,0.004928751656382291,0.007330765664137283,0.04441250241861121,0.19763871946888534,0.22370375598046144,0.18113540636675782,0.244195343495819,0.46580553,0.4865746,0.51278013,0.47969595,0.49614716,0.03871560753903731,Consumer Cyclical,84.0
ULTRACEMCO.NS,0.00010087799363128411,-0.0018540100491189638,-0.005427698973464939,-0.0011047274138428487,-0.00773455779867073,-0.011162092781178856,0.02653099167816586,0.17634096166963992,0.2084320508183798,0.46365616,0.45158195,0.39888215,0.45152175,0.32698083,0.03683225528138716,Basic Materials,67.1
WIPRO.NS,0.0016930187745299065,0.0022820750345549368,0.0013669862115594546,0.014771526900246405,0.07073957622124338,-0.37597062952457017,-0.1783968899681222,0.06685330379088157,0.12114399205542666,0.52296764,0.5250497,0.4884976,0.56615096,0.5801144,0.03934375636771436,Technology,86.8
