Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2021-10-22,1539.563232421875,741.5480346679688,3978.833984375,2868.799560546875,813.3041381835938,3449.56494140625,1862.078125,756.4833984375,678.7764282226562,180.5054168701172,3474.923095703125,860.058349609375,118.94593048095703,4941.560546875,902.9199829101562,2506.31689453125,1674.596923828125,988.5588989257812,786.4207153320312,679.9214477539062,2339.657470703125,457.15753173828125,2273.133056640625,736.5357666015625,1161.0654296875,1497.8985595703125,186.29653930664062,638.3341064453125,432.6879577636719,1703.35546875,856.5394287109375,7146.2431640625,903.3883056640625,124.14611053466797,116.748046875,114.71146392822266,1189.99658203125,1156.407470703125,460.0721435546875,279.5823974609375,775.4229736328125,762.9880981445312,111.78319549560547,3061.975341796875,1307.822998046875,2380.7568359375,6990.421875,315.23443603515625
2021-10-25,1528.7872314453125,732.0571899414062,4112.76611328125,2806.900390625,841.5859985351562,3357.89453125,1805.092529296875,750.2481079101562,675.453369140625,174.2296142578125,3419.4091796875,865.3356323242188,117.72877502441406,4866.12353515625,910.4548950195312,2457.582763671875,1671.5189208984375,964.8800659179688,775.3081665039062,672.5389404296875,2290.760498046875,459.87841796875,2274.754150390625,816.4654541015625,1142.96630859375,1487.22900390625,183.77685546875,644.4994506835938,429.3203430175781,1695.6572265625,859.2889404296875,7003.201171875,888.6325073242188,123.28934478759766,119.98174285888672,113.64959716796875,1178.4017333984375,1119.2540283203125,463.3194580078125,279.2694091796875,776.0433959960938,756.9436645507812,111.52880096435547,3056.8115234375,1313.5543212890625,2348.33203125,6990.61669921875,308.4437561035156
2021-10-26,1540.4112548828125,729.96435546875,4215.4365234375,2856.67919921875,838.3994750976562,3382.87548828125,1831.6591796875,770.7542114257812,680.4379272460938,173.96725463867188,3477.56005859375,870.7568359375,118.37115478515625,4888.47607421875,908.5176391601562,2484.923828125,1699.611328125,966.0390014648438,773.3197021484375,679.2323608398438,2302.44140625,472.3167419433594,2271.026123046875,804.5342407226562,1120.7911376953125,1497.0264892578125,186.37525939941406,663.7125244140625,440.5689697265625,1707.156982421875,863.003173828125,7038.64892578125,918.8182983398438,122.6895980834961,121.24553680419922,112.32228088378906,1205.2373046875,1161.2127685546875,468.85369873046875,280.9263916015625,776.3296508789062,776.0843505859375,115.87076568603516,3047.75390625,1347.339111328125,2422.952880859375,7107.26123046875,308.6516418457031
2021-10-27,1563.060791015625,726.02197265625,4223.93115234375,2976.7734375,784.2255249023438,3369.27001953125,1797.592529296875,734.1082763671875,686.4486694335938,172.61524963378906,3482.31591796875,885.1495361328125,117.39067840576172,5015.53662109375,907.836181640625,2478.831787109375,1688.8629150390625,974.6082763671875,768.6640014648438,682.9728393554688,2293.61669921875,466.2919616699219,2233.515625,809.96630859375,1108.805908203125,1519.213623046875,187.75320434570312,654.6795654296875,436.0456237792969,1696.037353515625,855.5264892578125,7095.4599609375,908.6343994140625,121.06173706054688,117.37993621826172,112.23377990722656,1189.99658203125,1175.033447265625,474.89105224609375,281.37744140625,787.3995971679688,785.5347900390625,114.36165618896484,3054.011474609375,1351.260498046875,2428.23388671875,7190.46630859375,310.0143737792969
2021-10-28,1395.4349365234375,669.8073120117188,4236.72216796875,3001.138916015625,755.19677734375,3301.6435546875,1795.16748046875,734.3143310546875,674.1339721679688,169.83045959472656,3467.29541015625,855.6445922851562,112.62335205078125,4988.06982421875,889.7776489257812,2424.725341796875,1663.4576416015625,953.78564453125,745.6434326171875,672.391357421875,2274.518310546875,455.5541687011719,2227.037841796875,774.7545776367188,1141.267822265625,1497.2022705078125,177.24151611328125,637.9994506835938,418.1614685058594,1724.2642822265625,852.6804809570312,7108.43359375,908.0033569335938,117.677490234375,111.65589141845703,109.66761016845703,1176.9525146484375,1156.308349609375,458.6085510253906,274.07763671875,770.6991577148438,776.8519287109375,112.07209014892578,2994.413818359375,1321.4833984375,2344.384033203125,7280.85791015625,303.4546813964844
2021-10-29,1420.42919921875,674.576904296875,4209.60888671875,2985.537353515625,738.9147338867188,3307.4873046875,1778.5458984375,726.0678100585938,669.8336181640625,168.579345703125,3461.50390625,868.4060668945312,111.20328521728516,5016.31591796875,907.15478515625,2383.76171875,1681.7301025390625,946.9552001953125,740.613525390625,669.7828979492188,2265.4384765625,446.8084716796875,2230.299560546875,778.004150390625,1106.525146484375,1465.437744140625,175.74549865722656,639.6245727539062,404.7408142089844,1679.025146484375,853.06640625,7217.13818359375,908.421630859375,113.65066528320312,110.80101013183594,109.16615295410156,1148.7132568359375,1134.95751953125,459.34027099609375,264.412109375,758.6749267578125,776.6599731445312,113.4820327758789,2973.49853515625,1273.6934814453125,2352.675048828125,7466.041015625,298.7658996582031
2021-11-01,1442.0809326171875,685.6739501953125,4283.2431640625,3006.435546875,749.2217407226562,3324.34912109375,1753.052001953125,727.4169311523438,696.3689575195312,170.1735076904297,3463.763916015625,872.43603515625,115.46345520019531,5092.33740234375,934.8511352539062,2455.904052734375,1748.0767822265625,984.5849609375,751.1178588867188,678.986328125,2285.559814453125,464.6399841308594,2243.30078125,779.7987060546875,1192.7996826171875,1493.8194580078125,178.61947631835938,658.55078125,413.7775573730469,1706.3016357421875,839.6566162109375,7345.5673828125,905.526611328125,115.0643539428711,113.84886169433594,110.75895690917969,1149.415283203125,1152.5928955078125,471.7351989746094,263.3995666503906,774.7072143554688,791.435302734375,117.70327758789062,3042.327880859375,1311.8736572265625,2375.130859375,7601.9951171875,302.78485107421875
2021-11-02,1469.5196533203125,683.6783447265625,4237.11572265625,2988.667236328125,752.7071533203125,3338.356201171875,1750.7467041015625,731.4788208007812,697.7860717773438,167.95379638671875,3468.2373046875,866.8229370117188,114.41533660888672,5070.1298828125,924.0743408203125,2439.067626953125,1704.1549072265625,969.2266845703125,751.7963256835938,681.7916870117188,2288.629150390625,455.16546630859375,2254.297119140625,776.9371337890625,1176.738525390625,1491.9300537109375,177.63522338867188,643.1611328125,413.80743408203125,1725.5948486328125,831.11865234375,7515.52099609375,897.606689453125,117.07774353027344,113.70021057128906,109.4316177368164,1132.6571044921875,1155.26806640625,477.2236328125,290.18682861328125,778.142822265625,799.97412109375,113.28370666503906,3049.154541015625,1297.468017578125,2422.16357421875,7541.62060546875,302.02264404296875
2021-11-03,1482.5904541015625,690.3463134765625,4383.9873046875,3053.480224609375,747.4789428710938,3299.591552734375,1747.4381103515625,737.4540405273438,683.2722778320312,167.44927978515625,3418.279052734375,875.6983642578125,114.78723907470703,5006.57568359375,929.0489501953125,2419.305419921875,1744.7056884765625,973.9458618164062,739.9584350585938,681.4471435546875,2252.09521484375,464.7857360839844,2247.26171875,762.3868408203125,1143.1602783203125,1495.971923828125,175.1549530029297,650.2346801757812,406.0161437988281,1795.781982421875,819.0595703125,7460.0595703125,895.8473510742188,117.16343688964844,112.99397277832031,108.5172348022461,1124.866943359375,1167.9000244140625,482.6664123535156,295.0564270019531,751.9470825195312,793.3541259765625,114.35301971435547,3056.19921875,1304.3880615234375,2386.62939453125,7712.23486328125,301.4221496582031
2021-11-04,1486.132568359375,694.7266845703125,4383.93701171875,3042.501708984375,749.8192749023438,3353.96923828125,1755.87646484375,738.3223266601562,685.2269287109375,169.4066925048828,3418.279052734375,873.8273315429688,115.42964172363281,5072.7109375,927.9780883789062,2553.372802734375,1750.6173095703125,979.5344848632812,745.8071899414062,685.4828491210938,2282.83154296875,459.24676513671875,2257.978759765625,758.6522827148438,1153.98095703125,1501.4200439453125,178.3832550048828,650.2346801757812,409.891845703125,1814.26708984375,842.068359375,7472.7431640625,903.1195068359375,117.50614929199219,113.03113555908203,109.16615295410156,1131.77392578125,1170.822998046875,485.2276916503906,297.7259826660156,759.1043701171875,793.8338623046875,114.34008026123047,3070.551025390625,1310.7421875,2400.2509765625,7705.341796875,301.9764709472656
2021-11-08,1564.7568359375,711.0314331054688,4351.14599609375,3022.03662109375,747.9271240234375,3369.983642578125,1828.3060302734375,752.897216796875,692.9481201171875,174.24978637695312,3501.008544921875,876.705810546875,116.10584259033203,4769.4521484375,932.3782958984375,2601.00390625,1806.6553955078125,979.3273315429688,748.7548828125,692.2254638671875,2287.435302734375,456.5259094238281,2266.412841796875,756.7607421875,1029.8099365234375,1526.726318359375,180.9422607421875,655.5875244140625,422.21649169921875,1829.093505859375,829.189208984375,7412.16943359375,910.769287109375,120.20496368408203,115.1497802734375,111.58485412597656,1133.177978515625,1189.548095703125,478.6414794921875,306.4801940917969,763.4464721679688,802.4207153320312,115.83626556396484,3065.38818359375,1354.5684814453125,2503.890869140625,8031.1728515625,304.1245422363281
